# 시험지 열둘 — 존댓말·업무 메시지. 규칙을 안 보고 썼다.
확인 부탁드립니다	확인 부탁드립니다
자료 보내드릴께요	자료 보내 드릴게요 | 자료 보내드릴게요
내일 찾아뵙겠습니다	내일 찾아뵙겠습니다
오늘 회의는 취소되었읍니다	오늘 회의는 취소되었습니다
금일 중으로 처리하겠습니다	금일 중으로 처리하겠습니다
검토후 연락드리겠습니다	검토 후 연락드리겠습니다
수고하셨습니다 내일 뵈요	수고하셨습니다 내일 봬요
확인해보고 말씀드릴께요	확인해 보고 말씀드릴게요 | 확인해보고 말씀드릴게요
결재는 카드로 가능합니다	결제는 카드로 가능합니다
빠른 답변 감사드립니다	빠른 답변 감사드립니다
문의하신 내용 확인했읍니다	문의하신 내용 확인했습니다
불편을 드려 죄송합니다	불편을 드려 죄송합니다
몇일 정도 소요될 예정입니다	며칠 정도 소요될 예정입니다
배송은 2~3일 정도 걸립니다	배송은 2~3일 정도 걸립니다
입금 확인 되면 발송해 드립니다	입금 확인되면 발송해 드립니다
재고가 없어서 주문이 취소됬습니다	재고가 없어서 주문이 취소됐습니다
다음주 화요일에 미팅 가능하실까요?	다음 주 화요일에 미팅 가능하실까요?
참석 여부 회신 부탁드려요	참석 여부 회신 부탁드려요
늦어서 죄송해요 금방 도착해요	늦어서 죄송해요 금방 도착해요
혹시 시간 괜찮으시면 통화 가능할까요	혹시 시간 괜찮으시면 통화 가능할까요
그부분은 제가 확인해보겠습니다	그 부분은 제가 확인해 보겠습니다 | 그 부분은 제가 확인해보겠습니다
첨부파일 확인 부탁드립니다	첨부 파일 확인 부탁드립니다 | 첨부파일 확인 부탁드립니다
안녕하세요 담당자님	안녕하세요 담당자님
좋은하루 되세요	좋은 하루 되세요
좋은 하루 되십시요	좋은 하루 되십시오
감사합니다 수고하세요	감사합니다 수고하세요
이번주까지 제출 부탁드립니다	이번 주까지 제출 부탁드립니다
금요일까지 완료 할 예정입니다	금요일까지 완료할 예정입니다
해당 건은 처리 완료 되었습니다	해당 건은 처리 완료되었습니다
연락주셔서 감사합니다	연락 주셔서 감사합니다 | 연락주셔서 감사합니다
# 아래는 멀쩡한 말
결재 서류 올렸습니다	결재 서류 올렸습니다
부장님 결재 완료됐어요	부장님 결재 완료됐어요
확인 안 되면 연락 주세요	확인 안 되면 연락 주세요
준비되셨나요	준비되셨나요
좋은 날이다	좋은 날이다
이게 좋은지 모르겠어	이게 좋은지 모르겠어
좋은데 비싸	좋은데 비싸
하십시오	하십시오
